Turn,Player Name,Profession,Strategy,Salary,Passive Income,Taxes,Other Expenses,Total Expenses,Child Cost,Savings,Loans,Sold Assets,No. Children,Cashflow,Stock Assets,Real Estate Assets,Business Assets,No. Dice,Die Roll,Board Space No. Before,Board Space No. After,Passed Paycheck,Board Space After
1,Player1,"
Profession:     Engineer
Salary:         4900
Taxes:          1050
Other Expenses: 1090
Cost per Child: 250
Savings:        400
No. Loans:      5
Loan Name:             Mortgage
   Loan Balance:       75000
   Loan Payment:       700
   Part. Pay. Allowed: False
Loan Name:             School Loans
   Loan Balance:       12000
   Loan Payment:       60
   Part. Pay. Allowed: False
Loan Name:             Car Loans
   Loan Balance:       7000
   Loan Payment:       140
   Part. Pay. Allowed: False
Loan Name:             Credit Cards
   Loan Balance:       4000
   Loan Payment:       120
   Part. Pay. Allowed: False
Loan Name:             Retail Debt
   Loan Balance:       1000
   Loan Payment:       50
   Part. Pay. Allowed: False",Dave Ramsey,4900,0,1050,1090,3210,250,400,5,0,0,1690,0,0,0,1,6,0,6,True,Opportunity
2,Player1,"
Profession:     Engineer
Salary:         4900
Taxes:          1050
Other Expenses: 1090
Cost per Child: 250
Savings:        400
No. Loans:      5
Loan Name:             Mortgage
   Loan Balance:       75000
   Loan Payment:       700
   Part. Pay. Allowed: False
Loan Name:             School Loans
   Loan Balance:       12000
   Loan Payment:       60
   Part. Pay. Allowed: False
Loan Name:             Car Loans
   Loan Balance:       7000
   Loan Payment:       140
   Part. Pay. Allowed: False
Loan Name:             Credit Cards
   Loan Balance:       4000
   Loan Payment:       120
   Part. Pay. Allowed: False
Loan Name:             Retail Debt
   Loan Balance:       1000
   Loan Payment:       50
   Part. Pay. Allowed: False",Dave Ramsey,4900,0,1050,1090,3210,250,2090,5,0,0,1690,0,0,0,1,1,6,7,False,The Market
3,Player1,"
Profession:     Engineer
Salary:         4900
Taxes:          1050
Other Expenses: 1090
Cost per Child: 250
Savings:        400
No. Loans:      5
Loan Name:             Mortgage
   Loan Balance:       75000
   Loan Payment:       700
   Part. Pay. Allowed: False
Loan Name:             School Loans
   Loan Balance:       12000
   Loan Payment:       60
   Part. Pay. Allowed: False
Loan Name:             Car Loans
   Loan Balance:       7000
   Loan Payment:       140
   Part. Pay. Allowed: False
Loan Name:             Credit Cards
   Loan Balance:       4000
   Loan Payment:       120
   Part. Pay. Allowed: False
Loan Name:             Retail Debt
   Loan Balance:       1000
   Loan Payment:       50
   Part. Pay. Allowed: False",Dave Ramsey,4900,0,1050,1090,3210,250,2090,5,0,0,1690,0,0,0,1,6,7,13,True,Pay Check
4,Player1,"
Profession:     Engineer
Salary:         4900
Taxes:          1050
Other Expenses: 1090
Cost per Child: 250
Savings:        400
No. Loans:      5
Loan Name:             Mortgage
   Loan Balance:       75000
   Loan Payment:       700
   Part. Pay. Allowed: False
Loan Name:             School Loans
   Loan Balance:       12000
   Loan Payment:       60
   Part. Pay. Allowed: False
Loan Name:             Car Loans
   Loan Balance:       7000
   Loan Payment:       140
   Part. Pay. Allowed: False
Loan Name:             Credit Cards
   Loan Balance:       4000
   Loan Payment:       120
   Part. Pay. Allowed: False
Loan Name:             Retail Debt
   Loan Balance:       1000
   Loan Payment:       50
   Part. Pay. Allowed: False",Dave Ramsey,4900,0,1050,1090,3210,250,3780,5,0,0,1690,0,0,0,1,5,13,18,False,Opportunity
5,Player1,"
Profession:     Engineer
Salary:         4900
Taxes:          1050
Other Expenses: 1090
Cost per Child: 250
Savings:        400
No. Loans:      5
Loan Name:             Mortgage
   Loan Balance:       75000
   Loan Payment:       700
   Part. Pay. Allowed: False
Loan Name:             School Loans
   Loan Balance:       12000
   Loan Payment:       60
   Part. Pay. Allowed: False
Loan Name:             Car Loans
   Loan Balance:       7000
   Loan Payment:       140
   Part. Pay. Allowed: False
Loan Name:             Credit Cards
   Loan Balance:       4000
   Loan Payment:       120
   Part. Pay. Allowed: False
Loan Name:             Retail Debt
   Loan Balance:       1000
   Loan Payment:       50
   Part. Pay. Allowed: False",Dave Ramsey,4900,0,1050,1090,3210,250,3780,5,0,0,1690,0,0,0,1,2,18,20,False,Opportunity
6,Player1,"
Profession:     Engineer
Salary:         4900
Taxes:          1050
Other Expenses: 1090
Cost per Child: 250
Savings:        400
No. Loans:      5
Loan Name:             Mortgage
   Loan Balance:       75000
   Loan Payment:       700
   Part. Pay. Allowed: False
Loan Name:             School Loans
   Loan Balance:       12000
   Loan Payment:       60
   Part. Pay. Allowed: False
Loan Name:             Car Loans
   Loan Balance:       7000
   Loan Payment:       140
   Part. Pay. Allowed: False
Loan Name:             Credit Cards
   Loan Balance:       4000
   Loan Payment:       120
   Part. Pay. Allowed: False
Loan Name:             Retail Debt
   Loan Balance:       1000
   Loan Payment:       50
   Part. Pay. Allowed: False",Dave Ramsey,4900,0,1050,1090,3210,250,0,5,0,0,1690,1,0,0,1,6,20,3,True,Charity
7,Player1,"
Profession:     Engineer
Salary:         4900
Taxes:          1050
Other Expenses: 1090
Cost per Child: 250
Savings:        400
No. Loans:      5
Loan Name:             Mortgage
   Loan Balance:       75000
   Loan Payment:       700
   Part. Pay. Allowed: False
Loan Name:             School Loans
   Loan Balance:       12000
   Loan Payment:       60
   Part. Pay. Allowed: False
Loan Name:             Car Loans
   Loan Balance:       7000
   Loan Payment:       140
   Part. Pay. Allowed: False
Loan Name:             Credit Cards
   Loan Balance:       4000
   Loan Payment:       120
   Part. Pay. Allowed: False
Loan Name:             Retail Debt
   Loan Balance:       1000
   Loan Payment:       50
   Part. Pay. Allowed: False",Dave Ramsey,4900,0,1050,1090,3210,250,1200,5,0,0,1690,1,0,0,2,4,3,7,True,The Market
8,Player1,"
Profession:     Engineer
Salary:         4900
Taxes:          1050
Other Expenses: 1090
Cost per Child: 250
Savings:        400
No. Loans:      5
Loan Name:             Mortgage
   Loan Balance:       75000
   Loan Payment:       700
   Part. Pay. Allowed: False
Loan Name:             School Loans
   Loan Balance:       12000
   Loan Payment:       60
   Part. Pay. Allowed: False
Loan Name:             Car Loans
   Loan Balance:       7000
   Loan Payment:       140
   Part. Pay. Allowed: False
Loan Name:             Credit Cards
   Loan Balance:       4000
   Loan Payment:       120
   Part. Pay. Allowed: False
Loan Name:             Retail Debt
   Loan Balance:       1000
   Loan Payment:       50
   Part. Pay. Allowed: False",Dave Ramsey,4900,0,1050,1090,3210,250,2890,5,0,0,1690,1,0,0,2,3,7,10,False,Opportunity
9,Player1,"
Profession:     Engineer
Salary:         4900
Taxes:          1050
Other Expenses: 1090
Cost per Child: 250
Savings:        400
No. Loans:      5
Loan Name:             Mortgage
   Loan Balance:       75000
   Loan Payment:       700
   Part. Pay. Allowed: False
Loan Name:             School Loans
   Loan Balance:       12000
   Loan Payment:       60
   Part. Pay. Allowed: False
Loan Name:             Car Loans
   Loan Balance:       7000
   Loan Payment:       140
   Part. Pay. Allowed: False
Loan Name:             Credit Cards
   Loan Balance:       4000
   Loan Payment:       120
   Part. Pay. Allowed: False
Loan Name:             Retail Debt
   Loan Balance:       1000
   Loan Payment:       50
   Part. Pay. Allowed: False",Dave Ramsey,4900,0,1050,1090,3210,250,2890,5,0,0,1690,1,0,0,2,4,10,14,True,Opportunity
10,Player1,"
Profession:     Engineer
Salary:         4900
Taxes:          1050
Other Expenses: 1090
Cost per Child: 250
Savings:        400
No. Loans:      5
Loan Name:             Mortgage
   Loan Balance:       75000
   Loan Payment:       700
   Part. Pay. Allowed: False
Loan Name:             School Loans
   Loan Balance:       12000
   Loan Payment:       60
   Part. Pay. Allowed: False
Loan Name:             Car Loans
   Loan Balance:       7000
   Loan Payment:       140
   Part. Pay. Allowed: False
Loan Name:             Credit Cards
   Loan Balance:       4000
   Loan Payment:       120
   Part. Pay. Allowed: False
Loan Name:             Retail Debt
   Loan Balance:       1000
   Loan Payment:       50
   Part. Pay. Allowed: False",Dave Ramsey,4900,0,1050,1090,3210,250,4580,5,0,0,1690,1,0,0,1,1,14,15,False,The Market
