professionName,strategyName,mean,std,count_nonzero
Business Manager,"LowLowBDT, LowPRT, HighROIT",40.001102535832416,15.311518658826275,907
Airline Pilot,"LowLowBDT, LowPRT, HighROIT",40.30085653104925,14.107855075392191,934
Engineer,"LowLowBDT, LowPRT, HighROIT",41.22982062780269,15.083080313792049,892
Lawyer,"LowLowBDT, LowPRT, HighROIT",42.68403547671841,16.153088038366242,902
Doctor,"LowLowBDT, LowPRT, HighROIT",43.19535374868004,13.530205014490269,947
Airline Pilot,"LowBDT, LowLowPRT, HighROIT",44.13897937024973,15.195258508202343,921
Airline Pilot,"LowBDT, LowPRT, HighROIT",44.41694169416942,15.290036601356642,909
Airline Pilot,Low Big Deal Threshold,45.22831050228311,15.80930423695556,876
Doctor,"LowBDT, LowLowPRT, HighROIT",45.78369905956113,14.147690265874884,957
Doctor,"LowBDT, LowPRT, HighROIT",45.872899159663866,14.2097706643217,952
Doctor,Low Big Deal Threshold,46.003264417845486,14.504262396833367,919
Police Officer,"LowLowBDT, LowPRT, HighROIT",46.071776155717764,17.125131122547618,822
Business Manager,"LowBDT, LowLowPRT, HighROIT",46.56531284302964,17.326973949543977,911
Engineer,"LowBDT, LowLowPRT, HighROIT",47.936052921719956,17.81683515293761,907
Nurse,"LowLowBDT, LowPRT, HighROIT",48.4390243902439,19.272607396831916,820
Business Manager,"LowBDT, LowPRT, HighROIT",48.876254180602004,18.604112934940876,897
Lawyer,"LowBDT, LowLowPRT, HighROIT",48.93993325917686,18.425276661154484,899
Lawyer,"LowBDT, LowPRT, HighROIT",50.48409090909091,19.501867629495642,880
Engineer,"LowBDT, LowPRT, HighROIT",50.53511705685619,19.25432302492385,897
Teacher (K-12),"LowLowBDT, LowPRT, HighROIT",51.32315521628499,19.965636675706666,786
Business Manager,Low Big Deal Threshold,51.50414201183432,21.353303003847476,845
Engineer,Low Big Deal Threshold,51.58774038461539,20.16459333213066,832
Lawyer,Low Big Deal Threshold,52.19143876337693,20.270497514247513,841
Doctor,"LowBDT, LowPRT, HighHighROIT",52.681352459016395,17.768479744350355,976
Janitor,"LowLowBDT, LowPRT, HighROIT",53.083743842364534,21.28266564632407,609
Secretary,"LowLowBDT, LowPRT, HighROIT",53.59452054794521,21.600690244591423,730
Airline Pilot,"LowBDT, LowPRT, HighHighROIT",53.76200417536534,23.762973950756006,958
Truck Driver,"LowLowBDT, LowPRT, HighROIT",53.77897574123989,21.824157770170157,742
Police Officer,"LowBDT, LowLowPRT, HighROIT",55.23716381418093,19.5605324854384,818
Mechanic,"LowLowBDT, LowPRT, HighROIT",56.295934959349594,22.882583018496156,615
Doctor,Low Price Raito Threshold,57.452934662236984,18.92878911454013,903
Doctor,High ROI Threshold,59.059016393442626,20.295379310348807,915
Nurse,"LowBDT, LowLowPRT, HighROIT",59.45375,21.976557334529158,800
Police Officer,"LowBDT, LowPRT, HighROIT",59.50326797385621,22.15235329083741,765
Janitor,Low Big Deal Threshold,59.91156462585034,24.873722079803773,294
Janitor,"LowBDT, LowLowPRT, HighROIT",59.92146596858639,22.309702880191473,573
Airline Pilot,Low Price Raito Threshold,60.340987370838114,22.79044281319868,871
Janitor,"LowBDT, LowPRT, HighROIT",61.5303738317757,24.826074395347764,428
Teacher (K-12),"LowBDT, LowLowPRT, HighROIT",62.05987261146497,22.85424607724485,785
Police Officer,Low Big Deal Threshold,62.074074074074076,23.103371106462205,648
Janitor,High Price Raito Threshold,62.539267015706805,28.937814952009568,191
Airline Pilot,High ROI Threshold,62.72215843857635,23.84279843422052,871
Nurse,"LowBDT, LowPRT, HighROIT",63.08660351826793,23.981939268478822,739
Doctor,High Price Raito Threshold,63.47722095671982,22.61716093038413,878
Nurse,Low Big Deal Threshold,63.7904,25.020169504847125,625
Teacher (K-12),"LowBDT, LowPRT, HighROIT",64.59886201991465,24.3237564308699,703
Lawyer,"LowBDT, LowPRT, HighHighROIT",64.62783171521036,29.526365600863233,927
Secretary,"LowBDT, LowLowPRT, HighROIT",65.16251830161055,23.08237703788844,683
Truck Driver,"LowBDT, LowLowPRT, HighROIT",65.26308139534883,23.13630839259006,688
Mechanic,Low Big Deal Threshold,66.21649484536083,26.533086750303124,291
Mechanic,"LowBDT, LowLowPRT, HighROIT",66.43986254295532,24.295420589052853,582
Teacher (K-12),Low Big Deal Threshold,67.1996644295302,25.691748665029305,596
Truck Driver,"LowBDT, LowPRT, HighROIT",67.41567291311755,24.67794526717237,587
Business Manager,"LowBDT, LowPRT, HighHighROIT",67.4896174863388,29.576749017724413,915
Janitor,Low Price Raito Threshold,67.50974930362116,27.798442335959958,359
Secretary,"LowBDT, LowPRT, HighROIT",67.62862010221465,24.96957326524152,587
Secretary,Low Big Deal Threshold,68.17954545454545,26.554401799291252,440
Truck Driver,Low Big Deal Threshold,68.21559633027523,26.600913213299723,436
Mechanic,"LowBDT, LowPRT, HighROIT",68.25056433408578,25.297916649101342,443
Airline Pilot,High Price Raito Threshold,68.37607891491986,26.754861008218178,811
Engineer,"LowBDT, LowPRT, HighHighROIT",69.51982378854626,30.48278642292449,908
Janitor,High ROI Threshold,70.00623052959502,28.827178340225913,321
Business Manager,Low Price Raito Threshold,70.86397058823529,25.541206949475658,816
Lawyer,Low Price Raito Threshold,71.82375,28.16143673689888,800
Engineer,Low Price Raito Threshold,72.38166047087981,26.228487547436206,807
Mechanic,High Price Raito Threshold,74.20571428571428,34.592587263690746,175
Lawyer,High ROI Threshold,76.09299363057325,30.527049970965198,785
Business Manager,High ROI Threshold,76.74688279301746,28.15188910949293,802
Mechanic,Low Price Raito Threshold,76.95934959349593,29.392045944323325,369
Police Officer,"LowBDT, LowPRT, HighHighROIT",77.05589307411908,30.02066257040588,823
Engineer,High ROI Threshold,78.33545108005083,28.798179917459272,787
Police Officer,Low Price Raito Threshold,79.0030627871363,28.989526188638497,653
Mechanic,High ROI Threshold,81.24096385542168,31.45508104487215,332
Lawyer,High Price Raito Threshold,83.10935251798561,33.62528058673913,695
Truck Driver,Low Price Raito Threshold,83.16041666666666,30.6978217256319,480
Secretary,Low Price Raito Threshold,83.55416666666666,31.291764297879453,480
Truck Driver,High Price Raito Threshold,85.31320754716981,36.75383940846969,265
Business Manager,High Price Raito Threshold,85.45643153526972,31.9709740587032,723
Secretary,High Price Raito Threshold,85.61216730038022,37.24882502704707,263
Engineer,High Price Raito Threshold,85.70773638968481,32.331549507833195,698
Police Officer,High ROI Threshold,85.93880837359099,31.001344266332577,621
Teacher (K-12),Low Price Raito Threshold,85.97058823529412,32.53459696999488,578
Truck Driver,"LowBDT, LowPRT, HighHighROIT",86.64776119402985,32.15919091026199,670
Nurse,Low Price Raito Threshold,86.71947194719472,32.115141770827805,606
Secretary,"LowBDT, LowPRT, HighHighROIT",87.01190476190476,32.53923241935788,672
Nurse,"LowBDT, LowPRT, HighHighROIT",87.18963337547409,32.691917380559296,791
Janitor,"LowBDT, LowPRT, HighHighROIT",89.06810035842294,35.48619505993734,558
Mechanic,"LowBDT, LowPRT, HighHighROIT",89.50825688073394,34.657362049045176,545
Truck Driver,High ROI Threshold,90.2183908045977,34.99546556780963,435
Secretary,High ROI Threshold,90.34942528735633,35.043123116804864,435
Teacher (K-12),"LowBDT, LowPRT, HighHighROIT",92.42266666666667,36.08340388049645,750
Police Officer,High Price Raito Threshold,92.55869565217391,35.678893976960005,460
Teacher (K-12),High ROI Threshold,94.05799648506151,36.095800888102055,569
Nurse,High ROI Threshold,94.80550774526678,35.09339810138219,581
Nurse,High Price Raito Threshold,98.20045045045045,40.50056878651705,444
Teacher (K-12),High Price Raito Threshold,98.39268292682927,41.69084547830956,410
Janitor,Dave Ramsey,117.40449438202248,62.76333794386577,178
Janitor,No Down Payment Loans,120.01612903225806,63.3919148912798,186
Airline Pilot,Dave Ramsey,121.99,40.06296546065802,800
Doctor,Dave Ramsey,122.27514450867052,38.137429904625854,865
Doctor,No Down Payment Loans,123.0140350877193,37.53464959050066,855
Airline Pilot,No Down Payment Loans,123.06725888324873,40.67451358028286,788
Mechanic,No Down Payment Loans,129.7560975609756,63.40348173668369,164
Mechanic,Dave Ramsey,130.8159509202454,63.9132551857752,163
Business Manager,Dave Ramsey,137.507183908046,50.27704489407902,696
Business Manager,No Down Payment Loans,138.15965166908563,49.84843945558937,689
Police Officer,Dave Ramsey,141.90814196242172,52.120755313086,479
Police Officer,No Down Payment Loans,143.82921810699588,51.780281744421906,486
Lawyer,Dave Ramsey,143.97272727272727,51.08200299995062,660
Engineer,Dave Ramsey,144.5834564254062,55.8623431544901,677
Secretary,Dave Ramsey,145.24806201550388,62.89457932978063,258
Engineer,No Down Payment Loans,145.39461883408072,53.760945419856874,669
Truck Driver,Dave Ramsey,145.43629343629343,62.628091959496935,259
Secretary,No Down Payment Loans,146.2911877394636,63.691017049617116,261
Lawyer,No Down Payment Loans,146.37689969604864,51.95330019966781,658
Truck Driver,No Down Payment Loans,146.44656488549617,63.43684076254551,262
Teacher (K-12),Dave Ramsey,151.8935574229692,63.105136883404654,357
Nurse,Dave Ramsey,158.7715053763441,66.48870722583884,372
Teacher (K-12),No Down Payment Loans,163.42690058479533,60.230633774773686,342
Nurse,No Down Payment Loans,170.16666666666666,60.89752183156343,348
professionName,mean,std,count_nonzero
Doctor,64.87215010363259,36.330239972401294,9167
Airline Pilot,64.88179425563565,37.95403384951927,8739
Janitor,70.91858263456857,37.57866386188061,3697
Business Manager,73.14668942811852,43.984468617769586,8201
Lawyer,74.1913756679508,45.73364085903435,8047
Engineer,75.13846916026752,46.38197814750747,8074
Mechanic,76.79668388148953,38.29136856904603,3679
Police Officer,78.72623574144487,43.12541975534062,6575
Truck Driver,80.84183250414594,42.329528629890866,4824
Secretary,80.96880848409232,42.46757920021559,4809
Nurse,83.61998041136141,48.27035311768227,6126
Teacher (K-12),84.66763104152484,46.80534590929981,5876
strategyName,mean,std,count_nonzero
"LowLowBDT, LowPRT, HighROIT",46.776736039563154,18.886147637652687,9706
"LowBDT, LowLowPRT, HighROIT",54.41379672406552,21.382477796712895,9524
"LowBDT, LowPRT, HighROIT",55.88243996813475,22.672460585108055,8787
